trip_id,arrival_time,departure_time,stop_id,stop_sequence

C19M,14:00:00,14:01:00,C19P26,1
C19M,14:15:00,14:16:00,C19P34,2
C19A,15:00:00,15:01:00,C19P26,1
C19A,15:30:00,15:35:00,C19P34,2
C19D,16:15:00,16:16:00,C19P11,1
C19D,16:30:00,16:31:00,C19P16,2
C19S,17:15:00,17:16:00,C19P11,1
C19S,17:30:00,17:31:00,C19P16,2
P18U,18:30:00,18:31:00,P10C01,1
P18U,18:40:00,18:41:00,P10C01,2
P17B,19:30:00,19:31:00,P10C02,1
P17B,19:50:00,19:51:00,P10C02,2
P01H,14:00:00,14:01:00,P10H01,1
P01H,14:15:00,14:16:00,P10H01,2
P02H,15:00:00,15:01:00,P10H01,1
P02H,15:30:00,15:35:00,P10H01,2
